code,region,case,species,data year,No. total species,total catch,catch,discard rate,notes,scientific name
21,miscellaneous,Indonesia deepwater snapper-grouper fishery,rusty jobfish,2018,300,100000,9440,NA,,Aphareus rutilans
21,miscellaneous,Indonesia deepwater snapper-grouper fishery,red-tailed opakapaka,2018,300,100000,9260,NA,,Pristipomoides typus
21,miscellaneous,Indonesia deepwater snapper-grouper fishery,ruby snapper,2018,300,100000,8980,NA,,Etelis sp. (Undescribed)
21,miscellaneous,Indonesia deepwater snapper-grouper fishery,malabar snapper,2018,300,100000,45270,NA,,Lutjanus malabaricus
21,miscellaneous,Indonesia deepwater snapper-grouper fishery,goldband snapper,2018,300,100000,22520,NA,,Pristipomoides multidens
21,miscellaneous,Indonesia deepwater snapper-grouper fishery,red emperor snapper,2018,300,100000,4180,NA,,Lutjanus sebae
21,miscellaneous,Indonesia deepwater snapper-grouper fishery,red-tailed opakapaka,2018,300,100000,3310,NA,,Pristipomoides typus
21,miscellaneous,Indonesia deepwater snapper-grouper fishery,grass emperor,2018,300,100000,3570,NA,,Lethrinus laticaudis
21,miscellaneous,Indonesia deepwater snapper-grouper fishery,non-target species,2018,300,100000,74820,NA,,
22,miscellaneous,Northern Brazil-Guianas Shelf shrimp and groundfish fishery,seabob,2017,>50,180000,30000,NA,,Xiphopenaeus kroyeri
22,miscellaneous,Northern Brazil-Guianas Shelf shrimp and groundfish fishery,penaied shrimp,2017,>50,180000,30000,NA,,
22,miscellaneous,Northern Brazil-Guianas Shelf shrimp and groundfish fishery,groundfish,2017,>50,180000,118000,NA,incomplete,
22,miscellaneous,Northern Brazil-Guianas Shelf shrimp and groundfish fishery,Southern red snapper,2017,>50,180000,12000,NA,incomplete,
22,miscellaneous,Northern Brazil-Guianas Shelf shrimp and groundfish fishery,non-target species,2017,>50,180000,NA,NA,,
23,miscellaneous,Northern Chile small pelagic fishery,anchovy,2019,52,599844,524989,NA,,Engraulis ringens
23,miscellaneous,Northern Chile small pelagic fishery,mackerel,2019,52,599844,55582,NA,,Scomber japonicus
23,miscellaneous,Northern Chile small pelagic fishery,jack mackerel,2019,52,599844,14568,NA,,Trachurus murphyi
23,miscellaneous,Northern Chile small pelagic fishery,sardine,2019,52,599844,606,NA,,Sardinops sagax
23,miscellaneous,Northern Chile small pelagic fishery,non-target species,2019,52,599844,4099,NA,,
24,miscellaneous,South African small pelagic fishery,sardine,2019,7,223779,5606,NA,,Sardinops sagax
24,miscellaneous,South African small pelagic fishery,anchovy,2019,7,223779,166232,NA,,Engraulis encrasicolus
24,miscellaneous,South African small pelagic fishery,round herring,2019,7,223779,47414,NA,,Etrumeus whiteheadi
24,miscellaneous,South African small pelagic fishery,non-target species,2019,7,223779,4527,NA,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
